Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.02.27.024 A. M.,Capture Start Frame,303690,Total Frames in Take,2658,Total Exported Frames,2658,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1887,Unlabeled 1887,Unlabeled 1887
,ID,"C9AF0","C9AF0","C9AF0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,-0.002273,0.033203,0.020515
1,0.008333,-0.002267,0.033200,0.020505
2,0.016667,-0.002265,0.033193,0.020512
3,0.025000,-0.002271,0.033183,0.020515
4,0.033333,-0.002273,0.033170,0.020500
5,0.041667,-0.002269,0.033189,0.020499
6,0.050000,-0.002260,0.033201,0.020481
7,0.058333,-0.002262,0.033202,0.020501
8,0.066667,-0.002261,0.033185,0.020503
9,0.075000,-0.002274,0.033181,0.020509
10,0.083333,-0.002285,0.033184,0.020504
11,0.091667,-0.002276,0.033191,0.020501
12,0.100000,-0.002268,0.033195,0.020500
13,0.108333,-0.002265,0.033189,0.020510
14,0.116667,-0.002271,0.033187,0.020512
15,0.125000,-0.002273,0.033189,0.020511
16,0.133333,-0.002271,0.033201,0.020505
17,0.141667,-0.002224,0.033132,0.020613
18,0.150000,-0.002254,0.033202,0.020509
19,0.158333,-0.002220,0.033117,0.020624
20,0.166667,-0.002282,0.033189,0.020523
21,0.175000,-0.002226,0.033135,0.020621
22,0.183333,-0.002217,0.033130,0.020615
23,0.191667,-0.002217,0.033123,0.020621
24,0.200000,-0.002262,0.033196,0.020525
25,0.208333,-0.002216,0.033118,0.020626
26,0.216667,-0.002231,0.033126,0.020612
27,0.225000,-0.002279,0.033186,0.020504
28,0.233333,-0.002277,0.033180,0.020499
29,0.241667,-0.002218,0.033127,0.020617
30,0.250000,-0.002225,0.033115,0.020626
31,0.258333,-0.002274,0.033195,0.020512
32,0.266667,-0.002235,0.033118,0.020620
33,0.275000,-0.002278,0.033193,0.020502
34,0.283333,-0.002268,0.033192,0.020498
35,0.291667,-0.002215,0.033120,0.020620
36,0.300000,-0.002229,0.033124,0.020619
37,0.308333,-0.002275,0.033181,0.020518
38,0.316667,-0.002237,0.033116,0.020613
39,0.325000,-0.002218,0.033105,0.020622
40,0.333333,-0.002207,0.033119,0.020618
41,0.341667,-0.002230,0.033123,0.020629
42,0.350000,-0.002279,0.033198,0.020503
43,0.358333,-0.002285,0.033181,0.020515
44,0.366667,-0.002265,0.033184,0.020506
45,0.375000,-0.002264,0.033183,0.020523
46,0.383333,-0.002256,0.033196,0.020519
47,0.391667,-0.002228,0.033131,0.020620
48,0.400000,-0.002222,0.033123,0.020622
49,0.408333,-0.002273,0.033197,0.020510
50,0.416667,-0.002272,0.033181,0.020525
51,0.425000,-0.002225,0.033125,0.020615
52,0.433333,-0.002262,0.033205,0.020500
53,0.441667,-0.002223,0.033136,0.020626
54,0.450000,-0.002260,0.033197,0.020515
55,0.458333,-0.002254,0.033195,0.020511
56,0.466667,-0.002265,0.033190,0.020519
57,0.475000,-0.002221,0.033125,0.020615
58,0.483333,-0.002224,0.033138,0.020608
59,0.491667,-0.002284,0.033198,0.020505
60,0.500000,-0.002270,0.033191,0.020516
61,0.508333,-0.002228,0.033113,0.020620
62,0.516667,-0.002264,0.033191,0.020502
63,0.525000,-0.002273,0.033209,0.020508
64,0.533333,-0.002269,0.033206,0.020499
65,0.541667,-0.002269,0.033184,0.020515
66,0.550000,-0.002272,0.033185,0.020514
67,0.558333,-0.002275,0.033187,0.020500
68,0.566667,-0.002220,0.033129,0.020619
69,0.575000,-0.002217,0.033136,0.020606
70,0.583333,-0.002272,0.033194,0.020502
71,0.591667,-0.002259,0.033186,0.020507
72,0.600000,-0.002268,0.033181,0.020512
73,0.608333,-0.002225,0.033118,0.020627
74,0.616667,-0.002217,0.033132,0.020607
75,0.625000,-0.002221,0.033127,0.020617
76,0.633333,-0.002224,0.033115,0.020619
77,0.641667,-0.002264,0.033191,0.020513
78,0.650000,-0.002277,0.033189,0.020518
79,0.658333,-0.002264,0.033202,0.020515
80,0.666667,-0.002219,0.033135,0.020614
81,0.675000,-0.002217,0.033120,0.020613
82,0.683333,-0.002224,0.033121,0.020622
83,0.691667,-0.002272,0.033188,0.020515
84,0.700000,-0.002226,0.033136,0.020620
85,0.708333,-0.002228,0.033124,0.020617
86,0.716667,-0.002222,0.033126,0.020620
87,0.725000,-0.002227,0.033115,0.020623
88,0.733333,-0.002230,0.033111,0.020622
89,0.741667,-0.002231,0.033129,0.020624
90,0.750000,-0.002228,0.033127,0.020625
91,0.758333,-0.002219,0.033132,0.020624
92,0.766667,-0.002267,0.033195,0.020508
93,0.775000,-0.002404,0.033170,0.020631
94,0.783333,-0.002275,0.033198,0.020506
95,0.791667,-0.002275,0.033202,0.020516
96,0.800000,-0.002219,0.033124,0.020614
97,0.808333,-0.002223,0.033125,0.020618
98,0.816667,-0.002270,0.033197,0.020502
99,0.825000,-0.002271,0.033192,0.020501
100,0.833333,-0.002275,0.033197,0.020505
101,0.841667,-0.002281,0.033199,0.020501
102,0.850000,-0.002266,0.033193,0.020514
103,0.858333,-0.002264,0.033192,0.020506
104,0.866667,-0.002271,0.033203,0.020504
105,0.875000,-0.002271,0.033202,0.020502
106,0.883333,-0.002220,0.033129,0.020614
107,0.891667,-0.002224,0.033131,0.020615
108,0.900000,-0.002256,0.033198,0.020511
109,0.908333,-0.002212,0.033129,0.020611
110,0.916667,-0.002261,0.033192,0.020505
111,0.925000,-0.002273,0.033190,0.020511
112,0.933333,-0.002221,0.033116,0.020621
113,0.941667,-0.002221,0.033118,0.020605
114,0.950000,-0.002263,0.033200,0.020503
115,0.958333,-0.002269,0.033195,0.020507
116,0.966667,-0.002272,0.033186,0.020502
117,0.975000,-0.002276,0.033188,0.020515
118,0.983333,-0.002278,0.033187,0.020518
119,0.991667,-0.002231,0.033119,0.020625
120,1.000000,-0.002229,0.033123,0.020619
121,1.008333,-0.002274,0.033192,0.020514
122,1.016667,-0.002278,0.033184,0.020514
123,1.025000,-0.002264,0.033193,0.020514
124,1.033333,-0.002217,0.033126,0.020612
125,1.041667,-0.002269,0.033197,0.020509
126,1.050000,-0.002216,0.033135,0.020611
127,1.058333,-0.002221,0.033126,0.020626
128,1.066667,-0.002264,0.033201,0.020526
129,1.075000,-0.002269,0.033195,0.020521
130,1.083333,-0.002266,0.033212,0.020514
131,1.091667,-0.002269,0.033210,0.020508
132,1.100000,-0.002226,0.033121,0.020613
133,1.108333,-0.002266,0.033192,0.020517
134,1.116667,-0.002223,0.033122,0.020623
135,1.125000,-0.002266,0.033197,0.020505
136,1.133333,-0.002281,0.033189,0.020505
137,1.141667,-0.002279,0.033187,0.020503
138,1.150000,-0.002228,0.033123,0.020615
139,1.158333,-0.002270,0.033194,0.020520
140,1.166667,-0.002217,0.033131,0.020620
141,1.175000,-0.002252,0.033201,0.020511
142,1.183333,-0.002221,0.033128,0.020609
143,1.191667,-0.002258,0.033205,0.020509
144,1.200000,-0.002268,0.033187,0.020517
145,1.208333,-0.002231,0.033110,0.020619
146,1.216667,-0.002259,0.033195,0.020504
147,1.225000,-0.002262,0.033197,0.020510
148,1.233333,-0.002269,0.033190,0.020510
149,1.241667,-0.002273,0.033194,0.020508
150,1.250000,-0.002261,0.033189,0.020507
151,1.258333,-0.002275,0.033187,0.020514
152,1.266667,-0.002262,0.033194,0.020510
153,1.275000,-0.002219,0.033131,0.020616
154,1.283333,-0.002268,0.033197,0.020513
155,1.291667,-0.002272,0.033190,0.020510
156,1.300000,-0.002232,0.033124,0.020620
157,1.308333,-0.002265,0.033202,0.020513
158,1.316667,-0.002271,0.033197,0.020504
159,1.325000,-0.002265,0.033195,0.020517
160,1.333333,-0.002282,0.033190,0.020513
161,1.341667,-0.002286,0.033186,0.020518
162,1.350000,-0.002282,0.033186,0.020516
163,1.358333,-0.002280,0.033188,0.020503
164,1.366667,-0.002271,0.033194,0.020501
165,1.375000,-0.002271,0.033206,0.020498
166,1.383333,-0.002220,0.033134,0.020620
167,1.391667,-0.002271,0.033192,0.020509
168,1.400000,-0.002228,0.033119,0.020605
169,1.408333,-0.002271,0.033189,0.020512
170,1.416667,-0.002280,0.033196,0.020519
171,1.425000,-0.002287,0.033201,0.020504
172,1.433333,-0.002274,0.033203,0.020511
173,1.441667,-0.002272,0.033196,0.020513
174,1.450000,-0.002234,0.033113,0.020610
175,1.458333,-0.002233,0.033118,0.020621
176,1.466667,-0.002275,0.033193,0.020508
177,1.475000,-0.002226,0.033133,0.020622
178,1.483333,-0.002267,0.033199,0.020505
179,1.491667,-0.002268,0.033188,0.020520
180,1.500000,-0.002272,0.033190,0.020516
181,1.508333,-0.002273,0.033202,0.020505
182,1.516667,-0.002272,0.033200,0.020509
183,1.525000,-0.002273,0.033192,0.020513
184,1.533333,-0.002272,0.033179,0.020514
185,1.541667,-0.002227,0.033114,0.020625
186,1.550000,-0.002222,0.033121,0.020621
187,1.558333,-0.002222,0.033122,0.020628
188,1.566667,-0.002219,0.033117,0.020623
189,1.575000,-0.002222,0.033117,0.020627
190,1.583333,-0.002222,0.033101,0.020641
191,1.591667,-0.002277,0.033178,0.020526
192,1.600000,-0.002273,0.033175,0.020521
193,1.608333,-0.002225,0.033114,0.020625
194,1.616667,-0.002226,0.033113,0.020626
195,1.625000,-0.002279,0.033185,0.020521
196,1.633333,-0.002275,0.033186,0.020516
197,1.641667,-0.002280,0.033191,0.020518
198,1.650000,-0.002273,0.033187,0.020517
199,1.658333,-0.002274,0.033188,0.020520
200,1.666667,-0.002233,0.033118,0.020621
201,1.675000,-0.002228,0.033118,0.020623
202,1.683333,-0.002272,0.033190,0.020522
203,1.691667,-0.002274,0.033195,0.020518
204,1.700000,-0.002269,0.033190,0.020513
205,1.708333,-0.002267,0.033197,0.020515
206,1.716667,-0.002228,0.033119,0.020619
207,1.725000,-0.002270,0.033191,0.020511
208,1.733333,-0.002263,0.033197,0.020506
209,1.741667,-0.002268,0.033189,0.020520
210,1.750000,-0.002272,0.033194,0.020506
211,1.758333,-0.002269,0.033187,0.020507
212,1.766667,-0.002276,0.033198,0.020500
213,1.775000,-0.002273,0.033206,0.020503
214,1.783333,-0.002284,0.033189,0.020517
215,1.791667,-0.002267,0.033198,0.020515
216,1.800000,-0.002272,0.033188,0.020507
217,1.808333,-0.002266,0.033192,0.020494
218,1.816667,-0.002281,0.033187,0.020510
219,1.825000,-0.002270,0.033188,0.020514
220,1.833333,-0.002271,0.033186,0.020520
221,1.841667,-0.002277,0.033182,0.020516
222,1.850000,-0.002277,0.033200,0.020496
223,1.858333,-0.002275,0.033193,0.020497
224,1.866667,-0.002269,0.033190,0.020508
225,1.875000,-0.002281,0.033183,0.020518
226,1.883333,-0.002276,0.033187,0.020516
227,1.891667,-0.002283,0.033189,0.020502
228,1.900000,-0.002280,0.033187,0.020507
229,1.908333,-0.002283,0.033186,0.020516
230,1.916667,-0.002273,0.033184,0.020515
231,1.925000,-0.002278,0.033178,0.020519
232,1.933333,-0.002280,0.033192,0.020514
233,1.941667,-0.002270,0.033203,0.020496
234,1.950000,-0.002266,0.033201,0.020504
235,1.958333,-0.002271,0.033202,0.020512
236,1.966667,-0.002274,0.033191,0.020519
237,1.975000,-0.002279,0.033193,0.020514
238,1.983333,-0.002269,0.033193,0.020517
239,1.991667,-0.002264,0.033208,0.020515
240,2.000000,-0.002272,0.033203,0.020511
241,2.008333,-0.002233,0.033129,0.020615
242,2.016667,-0.002229,0.033135,0.020624
243,2.025000,-0.002272,0.033206,0.020520
244,2.033333,-0.002273,0.033203,0.020513
245,2.041667,-0.002276,0.033203,0.020511
246,2.050000,-0.002218,0.033125,0.020614
247,2.058333,-0.002228,0.033130,0.020618
248,2.066667,-0.002220,0.033129,0.020627
249,2.075000,-0.002271,0.033195,0.020518
250,2.083333,-0.002270,0.033198,0.020503
251,2.091667,-0.002271,0.033196,0.020505
252,2.100000,-0.002223,0.033134,0.020615
253,2.108333,-0.002266,0.033208,0.020514
254,2.116667,-0.002276,0.033193,0.020514
255,2.125000,-0.002270,0.033196,0.020497
256,2.133333,-0.002226,0.033127,0.020613
257,2.141667,-0.002225,0.033125,0.020606
258,2.150000,-0.002221,0.033125,0.020615
259,2.158333,-0.002276,0.033199,0.020521
260,2.166667,-0.002241,0.033117,0.020614
261,2.175000,-0.002282,0.033180,0.020511
262,2.183333,-0.002232,0.033110,0.020608
263,2.191667,-0.002269,0.033200,0.020507
264,2.200000,-0.002272,0.033193,0.020510
265,2.208333,-0.002237,0.033111,0.020622
266,2.216667,-0.002227,0.033104,0.020621
267,2.225000,-0.002267,0.033187,0.020509
268,2.233333,-0.002224,0.033119,0.020603
269,2.241667,-0.002231,0.033124,0.020615
270,2.250000,-0.002225,0.033116,0.020619
271,2.258333,-0.002232,0.033114,0.020628
272,2.266667,-0.002225,0.033117,0.020620
273,2.275000,-0.002222,0.033123,0.020620
274,2.283333,-0.002218,0.033135,0.020620
275,2.291667,-0.002217,0.033131,0.020621
276,2.300000,-0.002268,0.033186,0.020512
277,2.308333,-0.002276,0.033191,0.020522
278,2.316667,-0.002265,0.033192,0.020506
279,2.325000,-0.002225,0.033133,0.020612
280,2.333333,-0.002273,0.033198,0.020510
281,2.341667,-0.002275,0.033184,0.020498
282,2.350000,-0.002286,0.033183,0.020519
283,2.358333,-0.002276,0.033196,0.020516
284,2.366667,-0.002225,0.033123,0.020609
285,2.375000,-0.002265,0.033199,0.020503
286,2.383333,-0.002366,0.033100,0.020741
287,2.391667,-0.002276,0.033191,0.020516
288,2.400000,-0.002277,0.033190,0.020519
289,2.408333,-0.002276,0.033190,0.020513
290,2.416667,-0.002275,0.033188,0.020515
291,2.425000,-0.002217,0.033119,0.020618
292,2.433333,-0.002276,0.033201,0.020510
293,2.441667,-0.002290,0.033183,0.020514
294,2.450000,-0.002287,0.033186,0.020514
295,2.458333,-0.002271,0.033186,0.020510
296,2.466667,-0.002270,0.033195,0.020519
297,2.475000,-0.002270,0.033195,0.020509
298,2.483333,-0.002274,0.033193,0.020501
299,2.491667,-0.002276,0.033174,0.020510
300,2.500000,-0.002269,0.033184,0.020515
301,2.508333,-0.002271,0.033196,0.020502
302,2.516667,-0.002270,0.033193,0.020503
303,2.525000,-0.002282,0.033194,0.020516
304,2.533333,-0.002271,0.033186,0.020506
305,2.541667,-0.002272,0.033186,0.020519
306,2.550000,-0.002277,0.033183,0.020523
307,2.558333,-0.002270,0.033192,0.020514
308,2.566667,-0.002275,0.033192,0.020507
309,2.575000,-0.002221,0.033124,0.020624
310,2.583333,-0.002223,0.033125,0.020621
311,2.591667,-0.002278,0.033194,0.020510
312,2.600000,-0.002274,0.033192,0.020512
313,2.608333,-0.002268,0.033201,0.020503
314,2.616667,-0.002269,0.033204,0.020503
315,2.625000,-0.002269,0.033205,0.020509
316,2.633333,-0.002276,0.033200,0.020514
317,2.641667,-0.002274,0.033200,0.020511
318,2.650000,-0.002277,0.033195,0.020508
319,2.658333,-0.002274,0.033196,0.020506
320,2.666667,-0.002270,0.033209,0.020506
321,2.675000,-0.002274,0.033197,0.020519
322,2.683333,-0.002283,0.033191,0.020514
323,2.691667,-0.002270,0.033195,0.020512
324,2.700000,-0.002229,0.033130,0.020620
325,2.708333,-0.002220,0.033134,0.020617
326,2.716667,-0.002225,0.033133,0.020614
327,2.725000,-0.002225,0.033120,0.020621
328,2.733333,-0.002262,0.033187,0.020515
329,2.741667,-0.002226,0.033119,0.020617
330,2.750000,-0.002259,0.033202,0.020512
331,2.758333,-0.002215,0.033131,0.020618
332,2.766667,-0.002226,0.033116,0.020609
333,2.775000,-0.002273,0.033192,0.020509
334,2.783333,-0.002269,0.033190,0.020511
335,2.791667,-0.002231,0.033121,0.020614
336,2.800000,-0.002216,0.033128,0.020615
337,2.808333,-0.002219,0.033132,0.020617
338,2.816667,-0.002264,0.033195,0.020504
339,2.825000,-0.002272,0.033187,0.020515
340,2.833333,-0.002267,0.033195,0.020513
341,2.841667,-0.002227,0.033117,0.020613
342,2.850000,-0.002228,0.033128,0.020606
343,2.858333,-0.002268,0.033196,0.020506
344,2.866667,-0.002276,0.033196,0.020513
345,2.875000,-0.002275,0.033187,0.020523
346,2.883333,-0.002275,0.033183,0.020508
347,2.891667,-0.002273,0.033186,0.020515
348,2.900000,-0.002271,0.033205,0.020514
349,2.908333,-0.002271,0.033195,0.020505
350,2.916667,-0.002283,0.033192,0.020518
351,2.925000,-0.002274,0.033197,0.020511
352,2.933333,-0.002273,0.033187,0.020507
353,2.941667,-0.002269,0.033202,0.020509
354,2.950000,-0.002227,0.033133,0.020623
355,2.958333,-0.002237,0.033121,0.020620
356,2.966667,-0.002277,0.033188,0.020508
357,2.975000,-0.002270,0.033182,0.020514
358,2.983333,-0.002224,0.033120,0.020618
359,2.991667,-0.002222,0.033134,0.020616
360,3.000000,-0.002270,0.033186,0.020510
361,3.008333,-0.002265,0.033192,0.020509
362,3.016667,-0.002278,0.033188,0.020515
363,3.025000,-0.002271,0.033187,0.020518
364,3.033333,-0.002273,0.033195,0.020516
365,3.041667,-0.002271,0.033188,0.020508
366,3.050000,-0.002268,0.033189,0.020508
367,3.058333,-0.002264,0.033190,0.020522
368,3.066667,-0.002274,0.033197,0.020513
369,3.075000,-0.002265,0.033199,0.020518
370,3.083333,-0.002220,0.033116,0.020627
371,3.091667,-0.002208,0.033124,0.020624
372,3.100000,-0.002213,0.033122,0.020623
373,3.108333,-0.002220,0.033121,0.020631
374,3.116667,-0.002219,0.033126,0.020630
375,3.125000,-0.002220,0.033124,0.020623
376,3.133333,-0.002211,0.033130,0.020626
377,3.141667,-0.002218,0.033133,0.020619
378,3.150000,-0.002278,0.033195,0.020512
379,3.158333,-0.002232,0.033125,0.020634
380,3.166667,-0.002266,0.033195,0.020511
381,3.175000,-0.002219,0.033134,0.020630
382,3.183333,-0.002214,0.033132,0.020631
383,3.191667,-0.002262,0.033203,0.020516
384,3.200000,-0.002277,0.033193,0.020518
385,3.208333,-0.002221,0.033130,0.020619
386,3.216667,-0.002214,0.033143,0.020627
387,3.225000,-0.002206,0.033144,0.020620
388,3.233333,-0.002228,0.033128,0.020634
389,3.241667,-0.002221,0.033130,0.020615
390,3.250000,-0.002266,0.033201,0.020510
391,3.258333,-0.002259,0.033198,0.020517
392,3.266667,-0.002205,0.033142,0.020618
393,3.275000,-0.002266,0.033203,0.020510
394,3.283333,-0.002278,0.033210,0.020516
395,3.291667,-0.002226,0.033130,0.020622
396,3.300000,-0.002226,0.033128,0.020618
397,3.308333,-0.002215,0.033128,0.020622
398,3.316667,-0.002265,0.033189,0.020520
399,3.325000,-0.002275,0.033191,0.020508
400,3.333333,-0.002276,0.033188,0.020505
401,3.341667,-0.002274,0.033192,0.020516
402,3.350000,-0.002234,0.033118,0.020623
403,3.358333,-0.002273,0.033191,0.020512
404,3.366667,-0.002275,0.033178,0.020512
405,3.375000,-0.002243,0.033117,0.020617
406,3.383333,-0.002277,0.033185,0.020514
407,3.391667,-0.002218,0.033125,0.020625
408,3.400000,-0.002215,0.033110,0.020612
409,3.408333,-0.002219,0.033117,0.020605
410,3.416667,-0.002267,0.033186,0.020510
411,3.425000,-0.002268,0.033201,0.020507
412,3.433333,-0.002276,0.033198,0.020508
413,3.441667,-0.002271,0.033189,0.020516
414,3.450000,-0.002216,0.033110,0.020610
415,3.458333,-0.002272,0.033195,0.020519
416,3.466667,-0.002226,0.033129,0.020618
417,3.475000,-0.002222,0.033131,0.020616
418,3.483333,-0.002220,0.033108,0.020616
419,3.491667,-0.002261,0.033177,0.020520
420,3.500000,-0.002217,0.033118,0.020626
421,3.508333,-0.002271,0.033206,0.020513
422,3.516667,-0.002268,0.033197,0.020518
423,3.525000,-0.002229,0.033112,0.020611
424,3.533333,-0.002270,0.033189,0.020519
425,3.541667,-0.002266,0.033196,0.020518
426,3.550000,-0.002265,0.033186,0.020521
427,3.558333,-0.002266,0.033200,0.020512
428,3.566667,-0.002273,0.033184,0.020507
429,3.575000,-0.002273,0.033168,0.020517
430,3.583333,-0.002228,0.033113,0.020611
431,3.591667,-0.002269,0.033200,0.020504
432,3.600000,-0.002265,0.033203,0.020511
433,3.608333,-0.002265,0.033200,0.020511
434,3.616667,-0.002257,0.033188,0.020513
