Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.17.27.226 A. M.,Capture Start Frame,411713,Total Frames in Take,5504,Total Exported Frames,5504,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1916,Unlabeled 1916,Unlabeled 1916,Unlabeled 1917,Unlabeled 1917,Unlabeled 1917,Unlabeled 1918,Unlabeled 1918,Unlabeled 1918,Unlabeled 1919,Unlabeled 1919,Unlabeled 1919,Unlabeled 1920,Unlabeled 1920,Unlabeled 1920,Unlabeled 1921,Unlabeled 1921,Unlabeled 1921,Unlabeled 1922,Unlabeled 1922,Unlabeled 1922,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923
,ID,"CA740","CA740","CA740","CA6F0","CA6F0","CA6F0","CA750","CA750","CA750","CA760","CA760","CA760","CA6B0","CA6B0","CA6B0","CA770","CA770","CA770","CA780","CA780","CA780","CA7A0","CA7A0","CA7A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.009206,0.032023,0.003620,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.009213,0.032018,0.003628,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.009213,0.032025,0.003618,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.009217,0.032014,0.003609,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.009214,0.032022,0.003620,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.009203,0.032014,0.003619,,,,,,,,,,,,,,,,,,,,,
6,0.050000,-0.009221,0.032002,0.003620,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.009215,0.032016,0.003620,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.009214,0.032018,0.003622,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.009212,0.032030,0.003617,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.009211,0.032020,0.003621,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.009224,0.032016,0.003615,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.009227,0.032013,0.003615,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.009223,0.032023,0.003615,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.009215,0.032026,0.003619,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.009214,0.032027,0.003619,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.009226,0.032018,0.003621,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.009233,0.032020,0.003618,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.009225,0.032027,0.003619,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.009209,0.032034,0.003621,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.009224,0.032024,0.003623,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.009224,0.032010,0.003625,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.009229,0.032012,0.003629,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.009229,0.032022,0.003626,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.009214,0.032029,0.003622,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.009210,0.032022,0.003621,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.009209,0.032014,0.003624,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.009221,0.032005,0.003618,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.009217,0.032011,0.003615,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.009209,0.032020,0.003621,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.009211,0.032009,0.003612,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.009208,0.031997,0.003613,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.009214,0.031998,0.003618,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.009209,0.032011,0.003613,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.009207,0.032017,0.003624,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.009210,0.032011,0.003616,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-0.009214,0.032009,0.003609,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-0.009211,0.032003,0.003617,,,,,,,,,,,,,,,,,,,,,
38,0.316667,-0.009207,0.032013,0.003616,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-0.009208,0.032019,0.003616,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-0.009202,0.032019,0.003613,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-0.009209,0.032005,0.003615,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-0.009210,0.032006,0.003615,,,,,,,,,,,,,,,,,,,,,
43,0.358333,-0.009208,0.032012,0.003619,,,,,,,,,,,,,,,,,,,,,
44,0.366667,-0.009211,0.032020,0.003626,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-0.009213,0.032012,0.003625,,,,,,,,,,,,,,,,,,,,,
