Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.23.15.163 A. M.,Capture Start Frame,453465,Total Frames in Take,2650,Total Exported Frames,2650,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936
,ID,"CAD80","CAD80","CAD80","CAD10","CAD10","CAD10"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.003079,0.032595,0.013819,,,
1,0.008333,0.003071,0.032581,0.013830,,,
2,0.016667,0.003059,0.032590,0.013819,,,
3,0.025000,0.003058,0.032581,0.013827,,,
4,0.033333,0.003060,0.032596,0.013832,,,
5,0.041667,0.003062,0.032595,0.013824,,,
6,0.050000,0.003073,0.032593,0.013832,,,
7,0.058333,0.003050,0.032588,0.013828,,,
8,0.066667,0.003061,0.032598,0.013824,,,
9,0.075000,0.003063,0.032591,0.013817,,,
10,0.083333,0.003062,0.032595,0.013821,,,
11,0.091667,0.003059,0.032599,0.013821,,,
12,0.100000,0.003060,0.032588,0.013818,,,
13,0.108333,0.003077,0.032590,0.013823,,,
14,0.116667,0.003070,0.032598,0.013829,,,
15,0.125000,0.003074,0.032602,0.013825,,,
16,0.133333,0.003077,0.032595,0.013832,,,
17,0.141667,0.003075,0.032589,0.013833,,,
18,0.150000,0.003085,0.032592,0.013821,,,
19,0.158333,0.003077,0.032602,0.013825,,,
20,0.166667,0.003084,0.032592,0.013825,,,
21,0.175000,0.003068,0.032582,0.013825,,,
22,0.183333,0.003062,0.032599,0.013821,,,
23,0.191667,0.003057,0.032596,0.013829,,,
24,0.200000,0.003067,0.032597,0.013822,,,
25,0.208333,0.003056,0.032599,0.013823,,,
26,0.216667,0.003063,0.032586,0.013821,,,
27,0.225000,0.003048,0.032587,0.013826,,,
28,0.233333,0.003059,0.032582,0.013826,,,
29,0.241667,0.003058,0.032588,0.013817,,,
30,0.250000,0.003064,0.032578,0.013830,,,
31,0.258333,0.003056,0.032582,0.013821,,,
